Symbol,buys,MT
KNTK,6,800
LECO,6,700
LSXMK,6,700
MED,6,600
MEI,6,600
NVST,6,400
NXGN,6,700
OOMA,6,800
PATK,6,700
PJT,6,800
PNM,6,400
PPL,6,500
RILY,6,700
RLI,6,400
RYTM,6,700
SDRL,6,800
SEE,6,500
SITM,6,700
SLRN,6,700
SNX,6,400
SONO,6,700
TSCO,6,700
TT,6,500
URBN,6,700
VLTO,6,500
VRNT,6,700
VSCO,6,600
BCPC,5,700
BRBR,5,400
CALX,5,400
CODI,5,800
CRSR,5,700
CSV,5,800
GT,5,700
GWW,5,500
HLIT,5,700
HTZ,5,700
HURN,5,700
INST,5,800
KELYA,5,700
KMX,5,500
MO,5,500
MTCH,5,700
NOW,5,500
NVRO,5,800
ODD,5,700
OHI,5,400
OLP,5,800
OMI,5,600
R,5,400
RAMP,5,600
RHP,5,800
SSTK,5,600
THRM,5,700
TRN,5,600
ACM,4,400
ARW,4,400
ASIX,4,600
AXP,4,500
BEAM,4,700
BFS,4,600
BLDR,4,400
CINF,4,700
CLB,4,600
CR,4,400
CRGY,4,800
CSGP,4,700
CW,4,400
DK,4,800
DOCU,4,700
DOOO,4,700
DSGX,4,700
ES,4,500
ESE,4,600
EVRI,4,800
EXAS,4,700
FA,4,700
GFS,4,700
IIIN,4,600
IIPR,4,600
INBX,4,700
IOSP,4,700
IVZ,4,500
KMPR,4,400
KRNT,4,700
LBRDK,4,700
LEGN,4,700
LFUS,4,700
LIN,4,500
LNW,4,700
MS,4,500
NDSN,4,700
NSP,4,400
NTRA,4,700
PII,4,400
PKE,4,800
PLUS,4,700
PLXS,4,700
PYPL,4,700
RL,4,500
RPM,4,400
RVLV,4,800
SAFT,4,700
SEDG,4,700
SKX,4,400
SRI,4,800
TEAM,4,700
TMDX,4,700
TSEM,4,700
TTGT,4,700
TWI,4,600
VST,4,400
WEX,4,400
WFC,4,500
ALRM,3,700
BKNG,3,700
CRS,3,600
DOCS,3,400
FCNCA,3,700
FRHC,3,700
FSV,3,700
FTRE,3,700
JBT,3,600
LDOS,3,500
MAT,3,700
MCRI,3,700
MSEX,3,700
NE,3,800
NSA,3,400
NUVL,3,700
PCG,3,500
RCL,3,500
ROG,3,600
SEM,3,600
SHAK,3,600
SLP,3,700
SPNS,3,700
STAG,3,400
TRMD,3,700
VVI,3,600
WING,3,700
WWD,3,700
ALGN,2,700
AMBA,2,700
AMRC,2,800
CARS,2,600
CVI,2,600
DO,2,800
DORM,2,700
DOV,2,500
DV,2,600
EEFT,2,700
EXPD,2,700
GLNG,2,700
GM,2,500
HUM,2,500
JLL,2,400
KAI,2,800
KHC,2,700
KRC,2,400
NTNX,2,700
PHM,2,500
PSA,2,500
RAPT,2,700
SAIA,2,700
SDGR,2,700
SYNA,2,700
TNC,2,600
VNO,2,400
ZS,2,700
AMLX,1,700
AMN,1,600
ATRI,1,700
AXSM,1,700
BY,1,800
DECK,1,400
EIX,1,500
IART,1,700
INSM,1,700
INVA,1,700
JNPR,1,500
KAMN,1,600
MOV,1,600
MTG,1,400
NVEE,1,700
OSTK,1,700
SCRM,1,700
SHLS,1,700
UTHR,1,700
VTLE,1,600
WST,1,500
ZIP,1,800
AAP,0,600
AGX,0,800
AXTA,0,400
BF.B,0,500
CAR,0,700
CDAY,0,500
CDP,0,400
CDRE,0,800
CF,0,500
CHTR,0,700
CNXN,0,700
COLM,0,700
DASH,0,700
DNUT,0,700
DRQ,0,600
EA,0,700
EFX,0,500
EHC,0,400
EL,0,500
EQR,0,500
EXPO,0,700
FHN,0,400
GDEN,0,700
GPOR,0,800
HEES,0,700
HES,0,500
HR,0,400
ILMN,0,700
INVH,0,500
LITE,0,700
LIVN,0,700
MASI,0,700
NTES,0,700
NXST,0,700
OLED,0,700
OSIS,0,700
PEN,0,400
RGNX,0,700
SEAS,0,800
TWNK,0,700
USNA,0,600
VGR,0,600
ALG,-1,600
CASH,-1,700
CIEN,-1,400
CMPR,-1,700
CNXC,-1,700
EXP,-1,400
HTLD,-1,700
IONQ,-1,800
JAZZ,-1,700
NKE,-1,500
NRC,-1,700
ROAD,-1,700
RVMD,-1,700
SKY,-1,800
UFPI,-1,700
UTL,-1,600
ACHC,-2,700
AEIS,-2,700
ALV,-2,400
AN,-2,400
BVH,-2,800
CNMD,-2,600
CRL,-2,500
DIN,-2,600
EBAY,-2,700
EXR,-2,500
FCX,-2,500
FORR,-2,700
GMS,-2,600
GPI,-2,600
IBTX,-2,700
KIDS,-2,700
LCII,-2,600
MATV,-2,600
MD,-2,600
MODG,-2,400
MSI,-2,500
NARI,-2,700
NEM,-2,500
NRG,-2,500
NVMI,-2,700
NWN,-2,600
PAR,-2,800
PHIN,-2,600
PI,-2,700
PPC,-2,700
PRGO,-2,400
PVH,-2,400
SSNC,-2,700
STAA,-2,700
TECH,-2,700
TPB,-2,800
TWST,-2,700
VCYT,-2,700
VERA,-2,700
X,-2,400
ACAD,-3,700
AIN,-3,600
AMBC,-3,600
BBWI,-3,500
CCRD,-3,800
DAN,-3,600
HLIO,-3,800
IONS,-3,700
PFE,-3,500
PRCT,-3,700
UVE,-3,800
VC,-3,700
XRX,-3,700
AAON,-4,700
ARCB,-4,700
ASO,-4,700
AZZ,-4,600
BBIO,-4,700
BRT,-4,800
CASY,-4,700
CMI,-4,500
CRVL,-4,700
ETD,-4,600
EWBC,-4,700
EXPE,-4,700
FLO,-4,400
GOLF,-4,800
GPK,-4,400
GTY,-4,600
HASI,-4,600
IDCC,-4,700
J,-4,500
JBHT,-4,700
KRYS,-4,700
LOPE,-4,700
LYV,-4,500
MEOH,-4,700
MLR,-4,800
NEU,-4,400
NFLX,-4,700
PHR,-4,800
POR,-4,400
PRTA,-4,700
ROKU,-4,700
RS,-4,400
SNY,-4,700
TALO,-4,600
TXG,-4,700
WEN,-4,700
WSC,-4,700
YUM,-4,500
ABG,-5,600
BTU,-5,800
CBZ,-5,800
CHCT,-5,600
CVX,-5,500
EVR,-5,400
GD,-5,500
IDT,-5,800
LMT,-5,500
NGVC,-5,800
TPX,-5,400
WYNN,-5,700
ARCT,-6,700
BANF,-6,700
BLMN,-6,700
CELH,-6,700
CVCO,-6,700
DHT,-6,800
DIS,-6,500
ECPG,-6,700
ENVX,-6,700
ESTA,-6,700
GME,-6,400
HCA,-6,500
KOP,-6,600
KSS,-6,400
NETI,-6,800
NTLA,-6,700
PARA,-6,700
PDD,-6,700
RMAX,-6,800
SGEN,-6,700
SMTC,-6,700
SYY,-6,500
UDR,-6,500
VTOL,-6,600
WASH,-6,700
WB,-6,700
WIRE,-6,700
AGM,-7,800
BPMC,-7,700
BPOP,-7,700
CLDX,-7,700
CRI,-7,400
CRSP,-7,700
CZR,-7,700
FHI,-7,400
JRVR,-7,700
KREF,-7,600
LBTYK,-7,700
MCS,-7,600
TTEC,-7,700
VVX,-7,800
WBA,-7,700
WTRG,-7,400
YY,-7,700
APLS,-8,700
BGNE,-8,700
BILI,-8,700
CARR,-8,500
CSGS,-8,700
DAL,-8,500
FDP,-8,600
FLT,-8,500
FMC,-8,500
FOLD,-8,700
FOXA,-8,700
HOG,-8,400
IRDM,-8,700
ITGR,-8,600
KMT,-8,600
LMND,-8,800
NBIX,-8,700
NTRS,-8,700
NXRT,-8,600
PFGC,-8,400
QFIN,-8,700
RJF,-8,500
SPXC,-8,600
STC,-8,600
TDY,-8,500
TEX,-8,400
THC,-8,400
TKO,-8,400
VRNA,-8,700
WBD,-8,700
AESI,-9,800
CACI,-9,400
CROX,-9,700
CRTO,-9,700
CSR,-9,600
DNLI,-9,700
DVAX,-9,700
GH,-9,700
GNTX,-9,700
KDP,-9,700
KFRC,-9,700
KROS,-9,700
MGRC,-9,700
MLTX,-9,700
OC,-9,400
PLNT,-9,400
REPL,-9,700
SAGE,-9,700
SCS,-9,800
SLM,-9,700
SUPN,-9,700
TFSL,-9,700
THO,-9,400
ZM,-9,700
ACAH,-10,700
ALNY,-10,700
AMPH,-10,700
AON,-10,500
AR,-10,400
ARR,-10,600
ARWR,-10,700
ASND,-10,700
AZTA,-10,700
BIO,-10,500
BIPC,-10,800
BRP,-10,700
CERE,-10,700
CPK,-10,600
DDS,-10,800
EPR,-10,400
EQIX,-10,700
FORM,-10,700
GBX,-10,600
GIC,-10,800
GMED,-10,400
GSHD,-10,700
HELE,-10,700
HLF,-10,800
IDXX,-10,700
INBK,-10,700
KEX,-10,400
KMB,-10,500
KRTX,-10,700
LEG,-10,400
MC,-10,600
MDLZ,-10,700
MDRX,-10,700
MLNK,-10,800
MOG.A,-10,600
MPX,-10,800
MSM,-10,400
NUS,-10,600
PRVA,-10,700
RIOT,-10,700
RRC,-10,400
RYZB,-10,700
SAFE,-10,600
SEIC,-10,700
SGRY,-10,700
SWK,-10,500
TIGO,-10,700
ULTA,-10,700
VAQC,-10,700
VEON,-10,700
