Symbol,Code,Company,Link,Market Cap,Last trade,Change,%Change,Sector
,ASX:NCR,NuCoal Resources (ASX:NCR),https://www.listcorp.com/asx/ncr/nucoal-resources,"	3843060",0.005,0,0,Materials
,ASX:OPL,Opyl Limited (ASX:OPL),https://www.listcorp.com/asx/opl/opyl-limited,"	3841860",0.044,0,0,Information Technology
,ASX:MRI,My Rewards International Limited (ASX:MRI),https://www.listcorp.com/asx/mri/my-rewards-international-limited,"	3839700",0.009,0,0,Industrials
,ASX:KDY,Kaddy Limited (ASX:KDY),https://www.listcorp.com/asx/kdy/kaddy-limited,"	3834710",0.027,0,0,Consumer Discretionary
,ASX:CMX,ChemX Materials Limited (ASX:CMX),https://www.listcorp.com/asx/cmx/chemx-materials-limited,"	3832740",0.072,0,0,Materials
,ASX:OM1,Omnia Metals Group Limited (ASX:OM1),https://www.listcorp.com/asx/om1/omnia-metals-group-limited,"	3786190",0.078,0,0,Materials
,ASX:ACS,Accent Resources NL (ASX:ACS),https://www.listcorp.com/asx/acs/accent-resources,"	3785020",0.008,0,0,Materials
,ASX:DBO,Diablo Resources Limited (ASX:DBO),https://www.listcorp.com/asx/dbo/diablo-resources-limited,"	3768290",0.042,0,-4.55,Materials
,ASX:WYX,Western Yilgarn NL (ASX:WYX),https://www.listcorp.com/asx/wyx/western-yilgarn-nl,"	3724310",0.071,0,-5.33,Materials
,ASX:NVQ,NoviqTech  Limited (ASX:NVQ),https://www.listcorp.com/asx/nvq/noviqtech-limited,"	3714590",0.0035,0,16.67,Information Technology
,ASX:PIM,Pinnacle Minerals Limited (ASX:PIM),https://www.listcorp.com/asx/pim/pinnacle-minerals-limited,"	3708380",0.125,-0.02,-13.79,Materials
,ASX:WSR,Westar Resources Limited (ASX:WSR),https://www.listcorp.com/asx/wsr/westar-resources-limited,"	3707150",0.02,0,0,Materials
,ASX:LYK,Lykos Metals Limited (ASX:LYK),https://www.listcorp.com/asx/lyk/lykos-metals-limited,"	3681600",0.059,0,0,Materials
,ASX:HXL,Hexima Limited (ASX:HXL),https://www.listcorp.com/asx/hxl/hexima-limited,"	3674870",0.022,0,0,Health Care
,ASX:AIV,ActivEX Limited (ASX:AIV),https://www.listcorp.com/asx/aiv/activex-limited,"	3663540",0.017,0,0,Materials
,ASX:CPO,Culpeo Minerals Limited (ASX:CPO),https://www.listcorp.com/asx/cpo/culpeo-minerals-limited,"	3645840",0.032,0,-5.88,Materials
,ASX:PUA,Peak Minerals Limited (ASX:PUA),https://www.listcorp.com/asx/pua/peak-minerals-limited,"	3644820",0.0035,0,0,Materials
,ASX:GSM,Golden State Mining Limited (ASX:GSM),https://www.listcorp.com/asx/gsm/golden-state-mining-limited,"	3630680",0.019,0,0,Materials
,ASX:HCT,Holista Colltech Limited (ASX:HCT),https://www.listcorp.com/asx/hct/holista-colltech,"	3624400",0.013,0,0,Consumer Staples
,ASX:GIVE,Perpetual ESG Australian Share Fund (Managed Fund) (ASX:GIVE),https://www.listcorp.com/asx/give/perpetual-esg-australian-share-fund-managed-fund,"	3621770",2.86,0,0,Financials
,ASX:IGRO,iShares High Growth ESG ETF (ASX:IGRO),https://www.listcorp.com/asx/igro/ishares-high-growth-esg-etf,"	3620790",25.86,-0.2,-0.77,Financials
,ASX:MKL,Mighty Kingdom Limited (ASX:MKL),https://www.listcorp.com/asx/mkl/mighty-kingdom-limited,"	3588420",0.011,0,0,Communication Services
,ASX:USIG,Global  X  USD  Corporate  Bond  ETF (Currency Hedged) (ASX:USIG),https://www.listcorp.com/asx/usig/global-x-usd-corporate-bond-etf-currency-hedged,"	3588000",8.96,0.08,0.9,Financials
,ASX:TEM,Tempest Minerals Limited (ASX:TEM),https://www.listcorp.com/asx/tem/tempest-minerals-limited,"	3579680",0.007,0,0,Materials
,ASX:C29,C29 Metals Limited (ASX:C29),https://www.listcorp.com/asx/c29/c29-metals-limited,"	3579150",0.074,0,0,Materials
,ASX:VAR,Variscan Mines Limited (ASX:VAR),https://www.listcorp.com/asx/var/variscan-mines-limited,"	3566150",0.01,0,0,Materials
,ASX:DMG,Dragon Mountain Gold (ASX:DMG),https://www.listcorp.com/asx/dmg/dragon-mountain-gold,"	3552040",0.009,0,0,Materials
,ASX:ADC,ACDC Metals Limited (ASX:ADC),https://www.listcorp.com/asx/adc/acdc-metals-limited,"	3530440",0.07,-0.01,-6.67,Materials
,ASX:ABE,Australian Bond Exchange Holdings Limited (ASX:ABE),https://www.listcorp.com/asx/abe/australian-bond-exchange-holdings-limited,"	3487780",0.083,-0.01,-7.78,Financials
,ASX:HRE,Heavy Rare Earths Limited (ASX:HRE),https://www.listcorp.com/asx/hre/heavy-rare-earths-limited,"	3447810",0.07,0.01,22.81,Materials
,ASX:DXN,DXN Limited (ASX:DXN),https://www.listcorp.com/asx/dxn/dxn-limited,"	3446680",0.002,0,0,Information Technology
,ASX:INL,Innlanz Limited (ASX:INL),https://www.listcorp.com/asx/inl/innlanz-limited,"	3445900",0.011,0,0,Consumer Discretionary
,ASX:AOA,Ausmon Resources (ASX:AOA),https://www.listcorp.com/asx/aoa/ausmon-resources,"	3425270",0.0035,0,0,Materials
,ASX:SKN,Skin Elements Limited (ASX:SKN),https://www.listcorp.com/asx/skn/skin-elements-limited,"	3416920",0.006,0,0,Consumer Staples
,ASX:ZMI,Zinc of Ireland NL (ASX:ZMI),https://www.listcorp.com/asx/zmi/zinc-of-ireland-nl,"	3410310",0.016,0,0,Materials
,ASX:WBE,Whitebark Energy Limited (ASX:WBE),https://www.listcorp.com/asx/wbe/whitebark-energy-limited,"	3376260",0.023,0,-8,Energy
,ASX:MTH,Mithril Resources Limited (ASX:MTH),https://www.listcorp.com/asx/mth/mithril-resources-limited,"	3368800",0.001,0,0,Materials
,ASX:MSG,MCS Services Limited (ASX:MSG),https://www.listcorp.com/asx/msg/mcs-services-limited,"	3367690",0.017,0,0,Industrials
